New Site Code,Asset Number,Catchment, Action Number,Site Number ,Waterway Action Plan ,Landholder,Contact,Action Summary ,Action ,Priority in WAP,Numeric Priority (Based on WAP),Lead Agency,Easting GDA 94 (start of works only),Northing GDA 94  (start of works only), Cost Estimate of Works , Actual Cost of Works , Status ,Inpsected ,Comments,Unnamed: 20,Unnamed: 21,lon,lat
WAP_2025_08_00038,,Reach 1,1.1,R1,Concongella Creek WAP 2003,Unknown,Null,Fencing & Revegetation,Fencing & Revegetation,Low,1,WCMA,Null,Null,"$60,000.00",$-,Planning,,,,,,
WAP_2025_08_00039,,Reach 1,1.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor bridge cleaning activities undertaken by Vicroads,Monitor,Low,1,Vicroads,Null,Null,$500.00,$-,Planning,,,,,,
WAP_2025_08_00040,,Reach 2,2.1,R2,Concongella Creek WAP 2003,Unknown,Null,Treat active erosion in the right bank tributary adjacent to Bulgana Road,Stability,Medium,2,,Null,Null,"$1,200.00",$-,Planning,,,,,,
WAP_2025_08_00041,,Reach 2,2.2,R2,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Medium,2,,Null,Null,"$1,200.00",$-,Unknown,,,,,,
WAP_2025_08_00042,,Reach 2,2.3,R2,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Medium,2,,Null,Null,"$1,200.00",$-,Unknown,,,,,,
WAP_2025_08_00043,,Reach 2,2.4,R2,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate Concongella creek and its tributaries,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$60,000.00",$-,Planning,,,,,,
WAP_2025_08_00044,,Reach 3,3.1,R3,Concongella Creek WAP 2003,Unknown,Null,Treat active erosion in right bank tributary downstream from Sycamores Road,Stability,Medium,2,,Null,Null,"$10,000.00",$-,Planning,,Steve West Site - Redesign?,,,,
WAP_2025_08_00045,,Reach 1,3.1,Unknown,Concongella Creek WAP 2003,Unknown,Null,Treat active bank erosion heads in the upstream reaches of Allanvale Creek and in the right bank tributary upstream from McKays Woolshed Road,Treatment,Medium,2,,Null,Null,"$10,000.00",$-,Completed,,Constructed 09/10,,,,
WAP_2025_08_00046,,Reach 3,3.2,R3,Concongella Creek WAP 2003,Unknown,Null,Fence and revetate Concongella creek and its tributaries,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$30,000.00",$-,Planning,,,,,,
WAP_2025_08_00047,,Reach 3,3.3,R3,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Low,1,,Null,Null,$200.00,$-,Unknown,,,,,,
WAP_2025_08_00048,,Reach 3,3.4,R3,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Monitor,Low,1,,Null,Null,$200.00,$-,Unknown,,,,,,
WAP_2025_08_00049,,Reach 3,3.5,R3,Concongella Creek WAP 2003,Unknown,Null,Fence and revetate tributaries (excluding Wattle Creek),Fencing & Revegetation,Low,1,WCMA,Null,Null,"$42,000.00",$-,Planning,,,,,,
WAP_2025_08_00050,,Reach 4,4.1,R4,Concongella Creek WAP 2003,Unknown,Null,Install a sediment trap at the downstream end of the sediment 'slug' and remove sediment when it becomes full.,Stability,High,3,,Null,Null,"$15,000.00",$-,Unknown,,Review as part of Concongella WAP upgrade,,,,
WAP_2025_08_00051,,Reach 4,4.2,R4,Concongella Creek WAP 2003,Unknown,Null,"Fence Concongella creek and stabilise sediment throughout the reach, with the introduction of vegetation and control of stock access",Fencing & Revegetation,High,3,WCMA,Null,Null,"$24,000.00",$-,Planning,,,,,,
WAP_2025_08_00056,,Allanvale Creek,A.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Medium,2,,Null,Null,$800.00,$-,Unknown,,,,,,
WAP_2025_08_00057,,Allanvale Creek,A.3,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Medium,2,,Null,Null,$800.00,$-,Unknown,,,,,,
