New Site Code,Asset Number,Catchment, Action Number,Site Number ,Waterway Action Plan ,Landholder,Contact,Action Summary ,Action ,Priority in WAP,Numeric Priority (Based on WAP),Lead Agency,Easting GDA 94 (start of works only),Northing GDA 94  (start of works only), Cost Estimate of Works , Actual Cost of Works , Status ,Inpsected ,Comments,Unnamed: 20,Unnamed: 21
WAP_2025_08_00001,,Unknown,Unknown,Unknown,04/05 Program,Unknown,Null,Treat active erosion in the right bank tributary upstream from McKays Woolshed Road,Stability,Medium,,,668988,5880722,"$20,000.00",$-,Unknown,2004-05,Not sure that landholder is keen to do work. This site was inspected in 04/05 and we were waiting on aerial photography from Clem to assess the rate of advancement.,,
WAP_2025_08_00002,1879,Unknown,Unknown,Unknown,04/05 Program,Shane Barber,353590210,Stabilise outside bend with rockwork. Landholder to fence & Revegetate as part of cost sharing arrangement,Stability,Medium,,WCMA,649013,5911377,"$13,000.00",$-,Designed,,Design Done - refer Asset 1879,,
WAP_2025_08_00003,1887,Unknown,Unknown,Unknown,04/05 Program,Unknown,Null,Undertake grade control if required,Stability,Medium,,,676085,5900313,$-,$-,Unknown,,Survey is complete. SKM to compare survey from 2002 with survey from 2004 to assess the rate of headward movement and required action,,
WAP_2025_08_00004,,Reach 1,1.1,1/002,Burnt Creek WAP 2005,Unknown,Null,Remove flow diversion banks constructed across the channel,Stability,High,3,GWMWater,611142,5918515,$-,$-,Refer to Other Agency,,Inspect and consult with landholder. Refer to GWMW if applicable.,,
WAP_2025_08_00005,,Reach 1,1.2,1/003,Burnt Creek WAP 2005,Unknown,Null,Fence right bank,Fencing,High,3,WCMA,612639,5920062,"$11,600.00",$-,Planning,,,,
WAP_2025_08_00006,,Reach 1,1.3,1/001,Burnt Creek WAP 2005,Unknown,Null,Control/prevent vehicle access to riparian zone,Fencing,High,3,WCMA,609803,5916588,$-,$-,Planning,,,,
WAP_2025_08_00007,,Reach 1,1.4,1/001,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,,609803,5916588,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00008,,Reach 1,1.5,1/002,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,,611142,5918515,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00009,,Reach 2,2.1,2/004a,Burnt Creek WAP 2005,Unknown,Null,Unblock (remove vegetation and soil) from Mackenzies Rd crossing culvert,Removal of Vegetation,High,3,HRCC,612823,5921774,"$5,000.00",$-,Planning,,Investigate to see if done. If not - do it,,
WAP_2025_08_00010,,Reach 2,2.2,2/005,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,Landholder Responibility,611557,5923571,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00010,,Reach 2,2.1,2/007a,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,Landholder Responibility,610646,5926626,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00011,,Reach 2,2.11,2/006,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,Landholder Responibility,610481,5925314,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00011,,Reach 2,2.11,2/007b,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,Landholder Responibility,610675,5926849,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00012,,Reach 2,2.2,2/005,Burnt Creek WAP 2005,Unknown,Null,Remove flow diversion banks constructed across the channel,Stability,High,3,GWMWater,611557,5923571,$-,$-,Refer to Other Agency,,Inspect and consult with landholder. Refer to GWMW if applicable.,,
WAP_2025_08_00013,,Reach 2,2.3,2/005,Burnt Creek WAP 2005,Unknown,Null,Stop cropping in riparian zone,Enforcement,High,3,Landholder Responibility,611557,5923571,$-,$-,Planning,,,,
WAP_2025_08_00014,,Reach 2,2.4,2/005,Burnt Creek WAP 2005,Unknown,Null,Stop vegetation and firewood collection in channel and riparian zone,Enforcement,High,3,Landholder Responibility,611557,5923571,$-,$-,Planning,,,,
WAP_2025_08_00015,,Reach 2,2.5,2004a,Burnt Creek WAP 2005,Unknown,Null,Replace left and right bank fences in 2-5 years,Fencing,Medium,2,WCMA,612978,5920402,"$21,200.00",$-,Planning,,,,
WAP_2025_08_00016,,Reach 2,2.6,2/005,Burnt Creek WAP 2005,Unknown,Null,Fence riparian zone upstream of Pueckers Road crossing,Fencing,High,3,WCMA,611886,5923466,"$3,900.00",$-,Planning,,,,
WAP_2025_08_00017,,Reach 2,2.7,2/005,Burnt Creek WAP 2005,Unknown,Null,Fence left bank between Pueckers Road crossing of Burnt creek and Millers Road,Fencing,High,3,WCMA,611226,5923549,"$10,500.00",$-,Planning,,,,
WAP_2025_08_00018,,Reach 2,2.8,2/006,Burnt Creek WAP 2005,Unknown,Null,Fence right bank riparian zone immediately downstream of Millers Road crossing,Fencing,High,3,WCMA,610591,5925125,"$4,600.00",$-,Planning,,,,
WAP_2025_08_00019,,Reach 2,2.9,2/007B,Burnt Creek WAP 2005,Unknown,Null,Fence right bank riparian zone immediately downstream of Raynolds Road crossing,Fencing,High,3,WCMA,610711,5926758,"$4,400.00",$-,Planning,,,,
WAP_2025_08_00020,,Reach 3,3.10,3/008,Burnt Creek WAP 2005,Unknown,Null,Remove dam constructed across channel,Remove Obstruction,High,3,GWMWater,610837,5928608,Landholder Responsibility,$-,Planning,,Investigate,,
WAP_2025_08_00021,,Reach 3,3.10,3/008,Burnt Creek WAP 2005,Unknown,Null,Control weeds,Weed Control,High,3,Landholder Responibility,610836,5928607,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00021,,Reach 3,3.10,3/009a,Burnt Creek WAP 2005,Unknown,Null,Control weeds,Weed Control,High,3,Landholder Responibility,611087,5929794,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00021,,Reach 3,3.10,3/009b,Burnt Creek WAP 2005,Unknown,Null,Control weeds,Weed Control,High,3,Landholder Responibility,611149,5930099,Cost borne under other programs,$-,Planning,,,,
